Restaurants,address,city,ratings,prices,cuisines,Meal_Type,Restaurant_offer_percentage,Online_payment_offer_percentage
Sun & Moon Korean Restaurant,"Worli, South Mumbai",Mumbai,4.4,1500,Korean,Lunch,10,25
Naivedya - Veg Treat.,"Airoli, Navi Mumbai",Mumbai,3.8,1300,Multicuisine,Lunch,20,25
Roadies Koffee Houz,"Kharghar, Navi Mumbai",Mumbai,4.6,700,European,Lunch,15,25
Dara's Dhaba,"Mira Road East, Mumbai",Mumbai,4.6,1000,Indian,Lunch,10,25
Le Bar Diamantaire,Sofitel Mumbai BKC,Mumbai,4.2,3000,"Finger Food, Cocktail Menu",Lunch,25,25
White Violet,"Majestic Court Sarovar Portico, Navi Mumbai",Mumbai,4.0,2000,Multicuisine,Lunch,35,25
Flavours - All Day Dining,"The Fern Residency, Bhiwandi-Pimplas, Mumbai",Mumbai,4.0,1700,Multicuisine,Lunch,35,25
Sky Lounge Bar & Rooftop,"Palm Beach Galleria Mall, Vashi",Vashi,2.8,1300,Multicuisine,Lunch,40,25
Mantoou The Asian Bistro,"CBD Belapur, Navi Mumbai",Mumbai,5.0,1000,Multicuisine,Lunch,20,25
Klove,"Yogi Excecutive, Navi Mumbai",Mumbai,5.0,1500,Multicuisine,Lunch,30,25
Teatro,"Dadar Shivaji Park, South Mumbai",Mumbai,4.5,1500,"Multicuisine, Cocktail Menu",Lunch,15,25
Udupi Shri Krishna,"CBD Belapur, Navi Mumbai",Mumbai,4.4,1000,South Indian,Lunch,15,25
Midtown Kitchen and Bar,"Mira Road East, Mumbai",Mumbai,5.0,1000,Multicuisine,Lunch,10,25
Courtyard Pavilion,Courtyard By Marriott Navi Mumbai,Mumbai,4.5,3200,Multicuisine,Lunch,25,0
Bombay Coffee House,"Fort, South Mumbai",Mumbai,4.5,900,Cafe,Lunch,10,25
Rasna Punjab,"Matunga East, Central Mumbai",Mumbai,4.9,600,North Indian,Lunch,10,25
The Atrangii House Sky Lounge,"Sanpada, Navi Mumbai",Mumbai,3.9,1600,Multicuisine,Lunch,30,25
YVR Cafe,"Kharghar, Navi Mumbai",Mumbai,4.9,1000,Fast Food,Lunch,10,25
The Village,"Kamothe, Navi Mumbai",Mumbai,5.0,1300,"Multicuisine, North Indian",Lunch,10,25
Mitron Thane  ,"Wagle Estate, Thane West",Thane,3.0,1800,Multicuisine,Lunch,20,25
Olde Baileys Cafe,"Seawoods, Navi Mumbai",Mumbai,4.5,600,Cafe,Lunch,10,25
The Coastal Tawa,"Sambhaji Nagar, Thane West, Thane Region",Thane,4.2,1300,Multicuisine,Lunch,25,25
Brooklyn Food Factory,"Kharghar, Navi Mumbai",Mumbai,3.0,800,Multicuisine,Lunch,20,25
Donna Sky Lounge,"Hotel Yogi Metropolitan, Mumbai",Mumbai,4.4,2000,Multicuisine,Lunch,10,25
Hengbok by Kofuku,"Lower Parel, South Mumbai",Parel,4.6,2000,"Japanese, Korean",Lunch,10,25
Grey Cravings,"Chembur, Central Mumbai",Mumbai,4.1,2200,Multicuisine,Lunch,50,25
Czar ,"The Fern Residency, Turbhe, Navi Mumbai",Mumbai,4.0,1500,Finger Food,Lunch,30,25
Ambalchi Tadka,"The Altruist Business Hotel, Navi Mumbai",Mumbai,4.0,1000,Multicuisine,Lunch,25,25
Kofuku,"Powai, Central Mumbai",Mumbai,4.6,2200,"Japanese, Sushi",Lunch,10,25
Eight,"High Street Phoenix, Lower Parel",Parel,4.5,2500,Pan Asian,Lunch,25,25
Global Coffee House & Eatery,"Bloom Hotel - BKC Kalina, Mumbai",Mumbai,4.0,1000,Multicuisine,Lunch,20,25
Mitron Navi Mumbai,"Turbhe, Navi Mumbai",Mumbai,2.2,1800,Multicuisine,Lunch,20,25
The Square,"Novotel Imagicaa Khopoli, Navi Mumbai",Mumbai,4.5,2000,Multicuisine,Lunch,25,25
Connextions,"The Fern Residency, Turbhe, Navi Mumbai",Mumbai,4.3,1800,Multicuisine,Lunch,25,25
Origami Japanese and Korean Restaurant,"Powai, Central Mumbai",Mumbai,4.5,2000,"Japanese, Korean, Sushi",Lunch,15,25
Malvan Tadka,"Vashi, Navi Mumbai",Vashi,4.5,1300,Multicuisine,Lunch,15,25
The Lantern Bar at Kandeel,"Fort, South Mumbai",Mumbai,4.4,1600,Multicuisine,Lunch,20,25
Bustling Brew Cafe,"Wagle Estate, Thane West",Thane,4.8,900,Multicuisine,Lunch,20,25
Pokket Cafe,"Ghatkopar West, Central Mumbai",Mumbai,4.5,835,Multicuisine,Lunch,15,25
Chili’s Grill & Bar,"Powai, Central Mumbai",Mumbai,4.5,1800,Tex-Mex,Lunch,10,25
Double Vision- The Bar,"The Byke Suraj Plaza Pure Veg Hotel, Thane",Thane,4.0,700,Indian,Lunch,25,25
Araku Coffee,"Colaba, South Mumbai",Mumbai,4.8,2000,"Cafe, Desserts, European",Lunch,10,25
Munchies Cafe,"Kharghar, Navi Mumbai",Mumbai,5.0,800,"Beverages, Fast Food",Lunch,25,25
Not just Tamasha,"Worli, South Mumbai",Mumbai,4.7,2200,Multicuisine,Lunch,20,25
Taste of Coastal,"Kharghar, Navi Mumbai",Mumbai,5.0,1000,"Seafood, Multicuisine",Lunch,20,25
The Coastal Tawa Eatery & Bar ,"Vikhroli, Central Mumbai",Mumbai,4.6,1000,Multicuisine,Lunch,25,25
Sante Spa Cuisine,"Nesco Centre Hall, Mumbai",Mumbai,4.4,1400,Multicuisine,Lunch,10,25
Prasad Food Divine,"Powai, Central Mumbai",Mumbai,4.4,800,Multicuisine,Lunch,10,25
Rude Lounge,"Powai, Central Mumbai",Mumbai,3.9,1500,Multicuisine,Lunch,25,25
Caspers Bar and Kitchen,"Vashi, Navi Mumbai",Vashi,3.8,1700,Multicuisine,Lunch,40,25
Dobaraa,"Palladium Mall, Lower Parel",Parel,4.3,1200,"Italian, European",Lunch,25,25
Bluet - More Than A Cafe,"The Sahil Hotel, Mumbai",Mumbai,5.0,1100,"Pan Asian, Indian, Sizzlers, Asian, Continental",Lunch,35,25
The Musk,"Palm Beach Galleria Mall, Vashi",Vashi,4.6,1200,Multicuisine,Lunch,20,25
Cafe 49,"The Emerald - Hotel & Service Apartments, Mumbai",Mumbai,4.3,1100,"Bakery, Cafe",Lunch,25,25
HYDE,"Kala Ghoda, Mumbai",Mumbai,4.5,1500,Finger Food,Lunch,20,25
Bombay Island Coffee Company,"Vikhroli, Central Mumbai",Mumbai,4.5,1000,"Cafe, Fast Food",Lunch,10,25
The Society - Fine Dine  Restaurant,"The Ambassador Hotel, Mumbai",Mumbai,4.7,1800,Multicuisine,Lunch,20,25
The Bayview,"Hotel Marine Plaza, Mumbai",Mumbai,4.2,2500,"Indian, Continental",Lunch,20,25
Pablo The Art Cafe Lounge,"Hotel Centre Point, Navi Mumbai",Mumbai,4.2,2000,Multicuisine,Lunch,25,25
The Spice Court Kitchen and Bar,"Ghatkopar West, Central Mumbai",Mumbai,4.5,1200,Multicuisine,Lunch,10,25
Surbhi Malvani Kitchen & Bar,"Airoli, Navi Mumbai",Mumbai,4.2,1500,"Cocktail Menu, Multicuisine",Lunch,20,25
Folk,"Kala Ghoda, Mumbai",Mumbai,4.5,1200,Multicuisine,Lunch,25,25
Home Chef- All Day Dining,"Dadar Shivaji Park, South Mumbai",Mumbai,4.0,1000,Multicuisine,Lunch,20,25
Cheers - Multicuisine Restaurant,"The Purple Orchid Suites, Navi Mumbai",Mumbai,4.0,1300,Multicuisine,Lunch,20,25
MH48 Via Punjab,"Vasai west, Mumbai",Mumbai,4.0,1000,Multicuisine,Lunch,20,25
The Atrangii House,"Airoli, Navi Mumbai",Mumbai,4.6,1600,"Cocktail Menu, Finger Food",Lunch,25,25
Ping's Cafe Orient,"Lower Parel, South Mumbai",Parel,4.4,1800,Multicuisine,Lunch,25,25
Zane's Cafe,"Lower Parel, South Mumbai",Parel,4.6,600,"Coffee and Tea, European",Lunch,10,25
PierONE By Monarch,"The Monarch, Navi Mumbai",Mumbai,4.2,1100,Multicuisine,Lunch,30,25
Angrezi Patiyalaa,"Korum Mall, Thane West",Thane,4.1,1600,Multicuisine,Lunch,20,25
Zodiac By ITC Fortune.,"Fortune Select Exotica, Navi Mumbai",Mumbai,4.2,2000,Multicuisine,Lunch,15,25
Swigs Bar,"Hotel Parle International, Mumbai",Mumbai,4.0,2350,Multicuisine,Lunch,25,25
Ariva Bar,"Aurika by Lemon Tree Hotels, Mumbai",Mumbai,4.0,1000,Multicuisine,Lunch,25,25
Shooters - Ramada Palmgrove,"Ramada Palmgrove, Mumbai",Mumbai,4.0,3500,Finger Food,Lunch,25,25
High Flame Cafe,"Kopar Khairane, Navi Mumbai",Mumbai,3.3,600,Multicuisine,Lunch,20,25
Anil Wine N Dine,"Kurla, Central Mumbai",Mumbai,4.2,600,"Chinese, Indian",Lunch,0,25
The Courtyard Cafe,"Kharghar, Navi Mumbai",Mumbai,4.8,900,Multicuisine,Lunch,20,25
Waves - The HighTide Club,"Mazgaon, Mumbai, Central Mumbai",Mumbai,4.2,2500,"European, Indian, Middle Eastern",Lunch,30,25
Ovenfresh,"Dadar Shivaji Park, South Mumbai",Mumbai,4.5,1100,"Mediterranean, European",Lunch,15,25
The Goose & Gridiron,"Fort, South Mumbai",Mumbai,4.2,1200,"Cocktail Menu, European",Lunch,15,25
Smoke House Deli,"Colaba, South Mumbai",Mumbai,4.4,1800,European,Lunch,20,25
Flavors Café,"The Ambassador Hotel, Mumbai",Mumbai,4.1,1200,Multicuisine,Lunch,20,25
Nostradamus By ITC Fortune.,"Fortune Select Exotica, Navi Mumbai",Mumbai,4.0,1800,"Finger Food, Cocktail Menu",Lunch,30,25
vashi vibes,"Hotel Mumbai House, Vashi, Navi Mumbai",Mumbai,4.0,1200,Multicuisine,Lunch,30,25
Ruchi Fine Dine,"CBD Belapur, Navi Mumbai",Mumbai,5.0,1200,Multicuisine,Lunch,25,25
Harley's Fine Baking,"Palladium Mall, Lower Parel",Parel,4.5,600,"Cafe, Bakery",Lunch,10,25
Beans & Bites,"Vasai west, Mumbai",Mumbai,4.8,900,"Italian, Continental",Lunch,15,25
 La Coco - Open Air Cafe,"Owale, Thane Region",Thane,3.2,1000,Multicuisine,Lunch,15,25
Charlotte,"Radisson Resort, Khopoli, Navi Mumbai",Mumbai,4.7,2000,Multicuisine,Lunch,25,25
Board n Bistro,"Powai, Central Mumbai",Mumbai,4.0,1200,European,Lunch,20,25
Slounge,"Lemon Tree Hotel, Kalina, Mumbai",Mumbai,5.0,1500,Multicuisine,Lunch,1,1
Maison De Cafe,Courtyard By Marriott Navi Mumbai,Mumbai,3.5,1000,Cafe,Lunch,30,25
Jeon,"Sea Princess, Mumbai",Mumbai,4.5,2500,Multicuisine,Lunch,15,25
Maiz Mexican Kitchen,"Palladium Mall, Lower Parel",Parel,4.4,650,Mexican,Lunch,20,25
Kubec,"Powai, Central Mumbai",Mumbai,4.3,750,Multicuisine,Lunch,10,25
Nando's,"Ghatkopar West, Central Mumbai",Mumbai,4.5,2000,"Burgers, African",Lunch,25,0
Brewers Bay,"Kharghar, Navi Mumbai",Mumbai,3.7,900,"European, Asian",Lunch,10,25
Vee Collaborative Kitchen & Bar ,"Wagle Estate, Thane West",Thane,3.3,1500,"Italian, Continental",Lunch,10,25
SpiceKlub,"Lower Parel, South Mumbai",Parel,4.6,1500,North Indian,Lunch,25,0
Mad Doh- Sourdough pizzeria & Bakes.,"Mulund West, Central Mumbai",Mumbai,4.4,1100,Italian,Lunch,10,25
 Navam Dining,"Charni Road, South Mumbai",Mumbai,3.6,1000,"Gujarati, North Indian",Lunch,25,25
7 Isles,"Navi Mumbai Marriott Hotel, Mumbai",Mumbai,4.7,2200,Multicuisine,Lunch,15,25
Ocean Spice Kitchen & Bar,"Mira Road East, Mumbai",Mumbai,5.0,1200,Multicuisine,Lunch,20,25
The Mint Leaf Kitchen N Bar,"Airoli, Navi Mumbai",Mumbai,5.0,1500,Multicuisine,Lunch,15,25
Tangerine Cafe - Ramada Palmgrove,"Ramada Palmgrove, Mumbai",Mumbai,4.2,2000,Multicuisine,Lunch,15,25
71 Tales - Bar & Cafe,"Chembur, Central Mumbai",Mumbai,4.5,1650,Multicuisine,Lunch,10,25
CHA,"High Street Phoenix, Lower Parel",Parel,4.5,900,Pan Asian,Lunch,15,25
Spice Laundry,"Chembur, Central Mumbai",Mumbai,4.4,1600,Multicuisine,Lunch,25,0
Rasoi Kitchen & Bar,"Ramee Guestline Hotel, Mumbai",Mumbai,4.5,1500,"Indian, Cocktail Menu",Lunch,15,25
Taste of Malvan Powai,"Powai, Central Mumbai",Mumbai,4.0,1000,Seafood,Lunch,15,25
Kitchen Kraft,"HopUp, Mumbai",Mumbai,4.0,900,Asian,Lunch,15,25
Khyma,"Sea Princess, Mumbai",Mumbai,4.0,2500,"Cocktail Menu, Pan Asian",Lunch,15,25
Nazaara,"Navi Mumbai Marriott Hotel, Mumbai",Mumbai,4.3,3500,Multicuisine,Lunch,15,25
Cafe Arabian Nights,"Vashi, Navi Mumbai",Vashi,5.0,2000,Multicuisine,Lunch,15,25
 Vivi All Day Bistro,"Thane West, Thane Region",Thane,4.4,1700,"Italian, Continental",Lunch,15,25
HAV Coffee,"Chowpatty, South Mumbai",Mumbai,4.9,800,Cafe,Lunch,15,25
Tipple,Radisson Mumbai Goregaon,Mumbai,4.0,2000,Finger Food,Lunch,30,25
Light House Cafe & Bar,"Worli, South Mumbai",Mumbai,3.9,1800,"Cocktail Menu, Multicuisine",Lunch,15,25
Backbenchers Cafeteria,"Ghatkopar East, Central Mumbai",Mumbai,4.4,500,"Cafe, Fast Food",Lunch,10,25
Kadak Brewpub,"Chembur, Central Mumbai",Mumbai,3.5,1200,Multicuisine,Lunch,10,25
NXT-LVL,"Wagle Estate, Thane West",Thane,4.2,2000,Multicuisine,Lunch,10,25
Imperial Spice Kitchen & Bar,"Mira Road East, Mumbai",Mumbai,3.9,1100,Multicuisine,Lunch,20,25
Eat Eat Repeat,"CBD Belapur, Navi Mumbai",Mumbai,4.0,700,Multicuisine,Lunch,20,25
Club Lucifer,"Airoli, Navi Mumbai",Mumbai,4.0,1800,"Cocktail Menu, Multicuisine",Lunch,20,25
Navratree Prasad Pure Veg,"Airoli, Navi Mumbai",Mumbai,5.0,500,Multicuisine,Lunch,15,25
The Waves,"The Byke Suraj Plaza Pure Veg Hotel, Thane",Thane,5.0,1200,Multicuisine,Lunch,15,25
Peche Mignon,"Novotel Mumbai Juhu Beach, Mumbai",Mumbai,3.3,1000,Continental,Lunch,15,25
Planet Hollywood Patisserie and Delicatessen,Planet Hollywood Thane City,Thane,5.0,1000,"Bakery, Delicatessen ",Lunch,15,25
LA Glace,"Churchgate, South Mumbai",Mumbai,5.0,400,"Desserts, Ice Cream, Milkshakes",Lunch,15,25
Pizza Fritta,"Marine Lines, South Mumbai",Mumbai,5.0,1000,Italian,Lunch,15,25
Cafe Vihar,"The Regenza By Tunga, Navi Mumbai",Mumbai,4.6,600,Indian,Lunch,10,25
Arab Restaurant,"Sewri, Mumbai",Mumbai,4.7,1000,Multicuisine,Lunch,15,25
TTC Kitchen & Bar,"Rabale, Navi Mumbai",Mumbai,4.8,1200,Multicuisine,Lunch,15,25
Hotel Redwings Castle,"New Panvel, Navi Mumbai",Mumbai,3.8,1200,Multicuisine,Lunch,20,25
Nau Se Barah (9/12),"Inorbit Mall, Vashi",Vashi,4.2,2000,Multicuisine,Lunch,15,25
Sydewok,"Hotel Suba International, Mumbai",Mumbai,4.0,1500,Indian,Lunch,10,25
Heng Bok Powai ,"Powai, Central Mumbai",Mumbai,4.0,2000,Korean,Lunch,10,25
La Mar Bar and Kitchen,"Worli, South Mumbai",Mumbai,3.5,3800,"European, Cocktail Menu",Lunch,20,25
Moxy Bar,Moxy Mumbai Andheri West,Mumbai,5.0,1200,"Finger Food, North Indian, Asian",Lunch,1,1
De Aura Global Dining and Bar,"Majiwada, Thane Region",Thane,4.6,1500,Multicuisine,Lunch,20,25
Agent Jack's,"Palm Beach Galleria Mall, Vashi",Vashi,3.5,1500,Multicuisine,Lunch,20,25
Relish Dining Bar ( The Mint Leaf),"Ghansoli, Navi Mumbai",Mumbai,4.5,1200,Multicuisine,Lunch,10,25
1 BHK - Bar House Kitchen,"Vashi, Navi Mumbai",Vashi,4.3,2000,Multicuisine,Lunch,10,25
The Windmill Coffee House & Bistro,"Ulwe, Navi Mumbai",Mumbai,4.2,600,Multicuisine,Lunch,15,25
Royal Treat Sip & Dine,"Mulund West, Central Mumbai",Mumbai,4.0,1000,Multicuisine,Lunch,25,25
Beiruna - An Authentic Lebanese Restaurant,"The Fern Mumbai, Goregaon, A series By Marriott",Mumbai,4.0,2500,Lebanese,Lunch,25,25
The Palate,"Sion, Central Mumbai",Mumbai,3.3,1100,Multicuisine,Lunch,10,25
Geoffrey's,"Hotel Marine Plaza, Mumbai",Mumbai,4.6,2000,"Cocktail Menu, Finger Food",Lunch,20,25
My Turn,"Owale, Thane Region",Thane,4.1,1000,Multicuisine,Lunch,15,25
X Sky Lounge,"Dombivali East, Thane Region",Thane,2.2,1700,"Indian, Chinese, Continental",Lunch,25,25
The Bay Shack Pizzeria,"Worli, South Mumbai",Mumbai,4.5,1300,Continental,Lunch,30,25
Kingsman Luxury Dine,"Satra Plaza, Vashi",Vashi,2.4,1500,Multicuisine,Lunch,40,25
Smaaash C2H5OH Bowling Sports Bar,"Lower Parel, South Mumbai",Parel,4.1,1600,"North Indian, Fast Food",Lunch,30,25
Gaylord,"Churchgate, South Mumbai",Mumbai,4.4,3000,"European, Indian",Lunch,10,25
Joshi House ,"Worli, South Mumbai",Mumbai,4.0,3000,Indian,Lunch,15,25
Planet Dailies,"Hiranandani Estate, Thane Region",Thane,4.0,2000,Multicuisine,Lunch,15,25
Coastal Village,"Taloja, Navi Mumbai",Mumbai,4.0,1000,Indian Coastal Cuisine,Lunch,15,25
The Lounge,"Marriott Executive Apartments, Navi Mumbai",Mumbai,4.0,1200,"Bakery, Cafe",Lunch,15,25
Farm Fresh,"Dapoli, Mumbai",Mumbai,4.0,1500,Multicuisine,Lunch,15,25
Infinity Bake Shop,"Worli, South Mumbai",Mumbai,4.0,1000,Bakery,Lunch,15,25
Atmosphere By Fame,Planet Hollywood Thane City,Thane,4.0,2000,Modern Indian,Lunch,15,25
Mantoou The Asian Bistro,"Vashi, Navi Mumbai",Vashi,4.9,1000,Asian,Lunch,30,25
Supreme Deli,"Hiranandani Estate, Thane Region",Thane,4.5,1150,Multicuisine,Lunch,10,25
Ice Cream Works Gold,"Palladium Mall, Lower Parel",Parel,3.8,400,Ice Cream,Lunch,15,25
Nara Thai,"Worli, South Mumbai",Mumbai,4.5,3000,Thai,Lunch,10,25
Level up Bar & lounge Thane,"Wagle Estate, Thane West",Thane,4.0,1000,Multicuisine,Lunch,30,25
Cult Lounge,"Vashi, Navi Mumbai",Vashi,3.7,1500,Multicuisine,Lunch,15,25
Magna: Bar & Kitchen,"Wagle Estate, Thane West",Thane,4.3,1500,Multicuisine,Lunch,15,25
Daddy Your Everyday Bar,"Sector 15, CBD Belapur, Navi Mumbai",Mumbai,3.8,1200,Multicuisine,Lunch,30,25
Sandwizzaa,"Chembur, Central Mumbai",Mumbai,5.0,300,Fast Food,Lunch,15,25
Shikara,"Hotel Highway View, Navi Mumbai",Mumbai,4.0,1000,Multicuisine,Lunch,10,25
Indigo Spice,"Dombivali East, Thane Region",Thane,4.5,1500,Multicuisine,Lunch,20,25
The Houz - Kitchen & Bar,"Ghansoli, Navi Mumbai",Mumbai,4.4,1400,Multicuisine,Lunch,25,25
La Cena By Di Mora,"Wagle Estate, Thane West",Thane,3.4,1500,"European, Italian, Mexican, Spanish, Asian",Lunch,15,25
Cosy Box,"Lower Parel, South Mumbai",Parel,4.5,3000,Multicuisine,Lunch,20,25
Altitude Ball In Ball Out,"Lower Parel, South Mumbai",Parel,4.2,2100,Multicuisine,Lunch,1,1
Syro - All Day Eatery Lounge,"Kalyan, Thane Region",Thane,4.0,1000,Multicuisine,Lunch,10,25
Cafe Central,"Kharghar, Navi Mumbai",Mumbai,4.0,800,Multicuisine,Lunch,10,25
Winking Owl,"Mira Road East, Mumbai",Mumbai,4.0,1000,Multicuisine,Lunch,10,25
L'amor,"Mulund West, Central Mumbai",Mumbai,4.6,500,"Italian, Mexican",Lunch,15,25
UNA Cafe (Pan Asian Cafe),"Seawoods, Navi Mumbai",Mumbai,4.6,700,Pan Asian,Lunch,20,25
Bombay Velvet,"Dombivali West, Thane Region",Thane,4.0,1000,Multicuisine,Lunch,10,25
Bira 91 Taproom,"Kamala Mills, South Mumbai",Mumbai,4.2,1200,Multicuisine,Lunch,25,25
Culinary Co. Kitchen and Bar,"Majiwada, Thane Region",Thane,5.0,1400,Multicuisine,Lunch,20,25
Liv Wid,"Dombivali East, Thane Region",Thane,4.0,700,"Indian, Chinese",Lunch,25,25
Tribe and Tonic,"Sambhaji Nagar, Thane West, Thane Region",Thane,4.0,1500,"Finger Food, Cocktail Menu",Lunch,25,25
Caffe Allora,"High Street Phoenix, Lower Parel",Parel,4.5,1300,Italian,Lunch,20,25
Artaka BBQ,"Kharghar, Navi Mumbai",Mumbai,5.0,1000,Multicuisine,Lunch,20,25
Agent Jack’s Bar,"Vasai East, Mumbai",Mumbai,5.0,1500,Multicuisine,Lunch,20,25
Glitte The Veg Restro,"Hiranandani Estate, Thane Region",Thane,4.0,1000,Multicuisine,Lunch,25,25
House of Ko,"Chembur, Central Mumbai",Mumbai,4.1,1500,Multicuisine,Lunch,10,25
Huddle & Score,"Nerul, Navi Mumbai",Mumbai,5.0,750,European,Lunch,20,25
Dadar Darbar,"Dadar East, South Mumbai",Mumbai,3.3,1200,Multicuisine,Lunch,10,25
2RUE,"Wagle Estate, Thane West",Thane,4.7,1200,"Asian, European",Lunch,20,25
Nock Nock,"Kalyan, Thane Region",Thane,4.8,1300,Multicuisine,Lunch,20,25
Kuckeliku Breakfast House,"Colaba, South Mumbai",Mumbai,4.4,1300,European,Lunch,25,0
Moea Moea,"Fort, South Mumbai",Mumbai,3.6,1400,Multicuisine,Lunch,25,25
Scoop Gelateria,"Ghatkopar East, Central Mumbai",Mumbai,4.0,600,Ice Cream,Lunch,10,25
Evara,"Wagle Estate, Thane West",Thane,4.6,1000,Multicuisine,Lunch,20,25
Cafe Spice & Herbs,"Bhandup, Central Mumbai",Mumbai,5.0,500,Cafe,Lunch,10,25
Bar Tales,"Mulund West, Central Mumbai",Mumbai,5.0,1500,Multicuisine,Lunch,10,25
Faham Restaurant & Lounge,"Fort, South Mumbai",Mumbai,4.0,1250,Multicuisine,Lunch,15,25
Basil & Beans,"Turbhe, Navi Mumbai",Mumbai,4.6,1200,Multicuisine,Lunch,15,25
New Shalimar Restaurant,"Bhandup, Central Mumbai",Mumbai,5.0,950,Multicuisine,Lunch,10,25
Hotel Gurudev,"Bhandup West, Mumbai",Mumbai,5.0,500,Indian,Lunch,10,25
Bake Live Studio,"Mulund West, Central Mumbai",Mumbai,5.0,500,Fast Food,Lunch,10,25
Citrus Cafe,"Freesia Residency by Express Inn, Ghansoli, Navi Mumbai",Mumbai,4.5,800,Multicuisine,Lunch,20,25
Locker Room - Sports Bar & Kitchen.,"Manpada, Thane Region",Thane,4.5,1500,"Cocktail Menu, Multicuisine",Lunch,20,25
Brunch Bar Cafe,"Ghodbunder Road, Thane Region",Thane,3.8,700,Multicuisine,Lunch,0,25
Current Affairs,"Vikhroli, Central Mumbai",Mumbai,4.3,1500,Multicuisine,Lunch,25,0
Drunkyard,"Dombivali East, Thane Region",Thane,4.1,1700,"Finger Food, Cocktail Menu",Lunch,20,25
Milagro,"Worli, South Mumbai",Mumbai,4.1,3500,"Spanish, Seafood, European, French, Italian",Lunch,20,25
Farm Fresh,"Ghodbunder Road, Thane Region",Thane,4.1,1000,Multicuisine,Lunch,20,25
G-Punjab,"Sion, Central Mumbai",Mumbai,3.8,1200,Multicuisine,Lunch,20,25
88 Kitchen & Bar,"Kalyan, Thane Region",Thane,4.0,1600,Multicuisine,Lunch,20,25
The Cube,"Effotel by Sayaji, Taloja, Navi Mumbai",Mumbai,4.0,1500,Multicuisine,Lunch,20,25
The Nawaabs,"Kharghar, Navi Mumbai",Mumbai,4.8,800,North Indian,Lunch,10,25
India Bistro,"Chembur, Central Mumbai",Mumbai,4.3,1800,North Indian,Lunch,25,0
Masala High,"Wagle Estate, Thane West",Thane,4.0,800,Multicuisine,Lunch,20,25
Punjab Tandoor Company,"Mulund West, Central Mumbai",Mumbai,4.2,800,North Indian,Lunch,10,25
Hylo,"Fort, South Mumbai",Mumbai,4.3,2500,"Beverages, Regional Indian, Modern Indian",Lunch,15,25
Hill View Cafe - Marriott Executive Apartments Navi Mumbai. ,"Turbhe, Navi Mumbai",Mumbai,4.1,2500,Multicuisine,Lunch,15,25
Mini Punjab,"Vashi, Navi Mumbai",Vashi,3.1,1000,Multicuisine,Lunch,20,25
Chote Nawab,"Chembur, Central Mumbai",Mumbai,4.0,900,Mughlai,Lunch,10,25
Royal Palate,"Hotel Bawa International, Mumbai",Mumbai,4.2,1600,Multicuisine,Lunch,25,25
Coolhad Katta,"Mulund West, Central Mumbai",Mumbai,4.0,650,Cafe,Lunch,10,25
Amigos Lounge,"Chembur, Central Mumbai",Mumbai,4.0,2300,Multicuisine,Lunch,10,25
KOA - Cafe & Bar,"Korum Mall, Thane West",Thane,4.0,1700,Multicuisine,Lunch,30,25
Kitchen Garden by Suzette,"Palladium Mall, Lower Parel",Parel,4.7,1000,"Healthy Food, Cafe",Lunch,25,0
China Garden,"Mulund West, Central Mumbai",Mumbai,4.0,850,Chinese,Lunch,10,25
Taphaus Sports Bar,"Manpada, Thane Region",Thane,4.3,700,"Finger Food, Cocktail Menu",Lunch,15,25
Legume,"High Street Phoenix, Lower Parel",Parel,4.2,1200,Multicuisine,Lunch,15,25
Dinu's Shore & Sea,"Dinu Beach Resort, Boriwali West, Mumbai",Mumbai,3.0,1200,Multicuisine,Lunch,15,25
Pass The Salt,"Kala Ghoda, Mumbai",Mumbai,4.1,2000,"American, Italian",Lunch,25,0
Ooh Pitara! Bar and Kitchen,"Turbhe, Navi Mumbai",Mumbai,4.8,1200,Multicuisine,Lunch,10,25
The Central Bistro,"Antop Hill, Mumbai",Mumbai,3.3,900,Multicuisine,Lunch,20,25
Curry's & Cocktails,"Ghatkopar West, Central Mumbai",Mumbai,4.0,1500,Multicuisine,Lunch,25,25
The Box Lounge,Courtyard By Marriott Navi Mumbai,Mumbai,4.2,1500,Multicuisine,Lunch,20,25
Oryn,"Fairmont, Vile Parle, Mumbai",Mumbai,3.9,5000,Chinese,Lunch,25,25
27 Palms ,"Kasarvadavli, Thane Region",Thane,1.0,1200,"Cocktail Menu, Multicuisine",Lunch,15,25
Golden Jade,Ramada by Wyndham Navi Mumbai,Mumbai,4.0,1500,Multicuisine,Lunch,15,25
The Food Foundry,"Kopar Khairane, Navi Mumbai",Mumbai,4.2,1200,Multicuisine,Lunch,10,25
Shree Vrindavan Pure Veg,"Mira Road East, Mumbai",Mumbai,3.8,800,South Indian,Lunch,25,0
Mogo Korean Bakehouse + Speciality coffee,"Mahim, South Mumbai",Mumbai,5.0,700,"Asian, Korean",Lunch,10,25
Mezcalita,"Churchgate, South Mumbai",Mumbai,4.4,1600,Mexican,Lunch,10,25
The Dining Space & Bar,"Kalamboli, Navi Mumbai",Mumbai,5.0,2000,Multicuisine,Lunch,10,25
Permit & Co.,"Lower Parel, South Mumbai",Parel,4.2,1800,Multicuisine,Lunch,20,25
Mocambo Cafe,"Fort, South Mumbai",Mumbai,4.8,700,Italian,Lunch,10,25
Nori - Sushi & More,"Manpada, Thane Region",Thane,5.0,1200,Japanese,Lunch,10,25
